StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.13006680768463863920902168601638166236
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.13126873999982428049087236518010343383
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.17909399432353562941778578455039000362
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.23032247947754270030794390612529799500
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.25026467879373468669241962456686142214
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.30820136476732676300188733996068504899
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.34308639193481810156607890930976242885
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.35457482851341145768436626677079936156
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.42823208636517147814551882949390555177
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.44695264090118969811571715075194464973
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.46879024441877561970430215493219097487
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.73118667177177339245977731230655999428
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.78570109003142126171735048399952242857
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.81351150123316639582317331698128017051
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.13168928610450172039065415219867010622
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.15292651931756414062286744093521143480
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.15499920521689005385632552798186088003
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.21548475565515317634498027902512347703
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.23205105866140169359141712196022113487
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.24167100757555246084114328293420212700
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.26914025694710409125483267180093904335
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.32367848838665728569057076965895710756
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.35720710215121664525240879440586297249
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.49224700400121331039388822890180969843
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.51717232052716527333708204405248148726
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.57484030305151589927211019745910668362
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.62864709655440569171761642826605355941
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.65632495765604650764960472610898460460
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.68340938233647004155843239114731061369
1.2.826.0.1.3680043.8.498.10306159113324811538703788080836752052,1.2.826.0.1.3680043.8.498.10903465965639594231540335074980096554,1.2.826.0.1.3680043.8.498.87620633172167176458401478263980902436
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.11596261743769104853506494011727926519
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.13007889991232482573400485877834492022
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.13033839241598760120762910075318188821
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.13176218816185026059093094475696822492
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.13400596358133871809876006471403503974
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.20590526817548656329339589441958113063
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.32566039345012875147422633361308326166
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.35286336172425434533392389067512698767
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.37047339492493029938949038954918097083
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.41168254480600085269465738041491588651
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.54234347709488923465751329308689965215
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.54901200493414792739645872042392591480
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.60321714847953695585920120569871984170
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.63432295369944122347225171976847956891
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.76339690583660081242728962008353770838
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.10819304863029245505396116222076917240,1.2.826.0.1.3680043.8.498.76900312221557220350722692393278674042
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.10309462044263856925712322980870056254
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.10459940804377868393226140525627345923
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.12231195856711987107858542587911735598
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.12393708915543880735962885364010997297
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.12667385440215360707207981243826116653
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.12730011016590365527994421005232894176
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.22443264356257345218746014591345145244
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.31979833986039697330652239214619263516
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.38222799571409032643180128707258413350
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.43922400301792779602099845436925798454
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.44393463245639846482520789088941409577
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.44893709747347990378827863022335226522
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.47057780087281079542578032308104923353
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.48140911491447164980915034454009887706
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.63856285353612197903867941386705194440
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,1.2.826.0.1.3680043.8.498.77748713704773868178795249157110834807
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.11667603181498141450410893573462742738
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.11937730455296478275054783732247196706
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.12388111387608259758656459449923251028
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.13152891971289806969044857317235782687
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.13293054598530688338228048647666438602
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.17264972765402118283122189082297889387
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.19437043904695454366103242144524715135
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.23843812431366540306464232764285240231
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.24972330630523157621244279526202733219
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.28746458615423610653837060324294026666
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.31462589597630453813061243994510802720
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.33650545102761502962903095672279747741
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.43334120515103487097332412698483561482
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.51723088114915545036693308115880953091
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.65610049969439401110875152246758447490
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,1.2.826.0.1.3680043.8.498.72938920194835633164357567369583539002
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.11926753009650176689934327680780976577
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.12222136249707548455963011674040645646
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.12266445752133499814863567072833516685
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.14539553387394813213414448705710468426
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.18757910506060031510046804160930637804
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.24522251909748324160690885333769815915
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.28121467783234430186455200246241650176
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.31387919830825323700882974503559019867
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.32517021685433909277066495578641502258
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.39925567066092846345295214388236765640
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.49395582921776394706425570653335144003
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.52747533193155314112729656128754648761
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.54783698237057265437569835383669989716
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.55023408954198451418824093369774249961
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.62696849096517398023239975325714060592
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,1.2.826.0.1.3680043.8.498.74376930492921854702075738485242101407
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.12719963914051370473863397450495987364
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.12723145250428627992648851738009655785
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.12753263242722159336475303760215569028
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.13099087667702424143536497771925395517
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.14067365709540665765100477251192452674
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.14412351716348878408814067226592550738
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.15477220024799315703668694492584375589
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.18614647256180521746112336287955497063
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.21654624056231957452133132733290315376
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.34079318965914628112456859040012442468
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.37558971075756272715459525122433842039
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.37862812525132588431428161451208767180
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.39562197507741452404404223971746259526
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.49296415808542985694545407400678920055
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.61849431013975347588069328409363269375
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,1.2.826.0.1.3680043.8.498.62400246916517076598741099216966840094
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.12004248496213497905983949228075715206
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.12238930242541141752231077575793415495
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.12567319227696650597296826464185593690
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.12673793783181610055000914382396082400
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.21048725688453739255134131302412788384
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.22756408095337318771006628473038233932
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.31001381967109518642962360088073855791
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.38948276666835905885969723599360722293
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.45417963614892288608782102572808610336
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.50115809976275548997164427637756330867
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.58875659850513667003546779103748406547
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.61350094280455472231058972380863282376
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.63517878574614895591944543933532580326
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.67179357724027975865810810366683148091
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.70880662914673674273292324151879453440
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,1.2.826.0.1.3680043.8.498.73370800138216814656049630984003101981
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1.2.826.0.1.3680043.8.498.82713864873588110089135844757295052009,1.2.826.0.1.3680043.8.498.12757145772971418614277652365057379166
